[2026-05-14 13:00:20.206] [37016433] [INFO] [L3701643302T20260514125929848R18720] [ ] [处理流程|车辆交易数据处理] |鲁LU286S_0车轴型识别数据保存成功
[2026-05-14 13:00:20.206] [37016433] [INFO] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643302/Reply/DevInfo/Axle】：{"code":"1","codeInfo":"","msgId":"","receiveTime":"2026-05-14T13:00:20"}
[2026-05-14 13:00:26.123] [37016433] [INFO] [数据交互|收到消息服务数据] |收到消息：主题【E/37/035/035/37016433/3701643302/Push/DevInfo/Axle】,QOS 【0】, 内容:{"axleFlag":1,"axleNum":"20260514120011","axleTime":"2026-05-14T12:17:25","dangerousGoods":0,"faceFeatureCode":"0000","identifyType":"11","msgId":"37016433022026051413303502","picId":null,"plateColor":0,"plateNum":"鲁U03V62","pushTime":"2026-05-14T13:00:26","reliability":100,"vehFeatureCode":"0000","vehicleAxleCount":2,"vehicleAxleInfo":"000011","vehicleColor":0,"vehicleHeigth":1960,"vehicleLength":6694,"vehicleModel":"0000","vehicleSpecial":0,"vehicleSpeed":14,"vehicleWheelBase":"4240","vehicleWidth":1830}
[2026-05-14 13:00:26.123] [37016433] [INFO] [L3701643302T20260514125929848R18720] [ ] [处理流程|车辆交易数据处理] |鲁U03V62_0车轴型识别数据保存成功
[2026-05-14 13:00:26.123] [37016433] [INFO] [数据交互|发送消息服务数据] |发布【E/37/035/035/37016433/3701643302/Reply/DevInfo/Axle】：{"code":"1","codeInfo":"","msgId":"","receiveTime":"2026-05-14T13:00:26"}
[2026-05-14 13:00:27.115] [37016433] [INFO] [L3701643301T20260514130027115R18721] [数据交互|收到MTC前端服务数据] |MTC入口交易请求: {"filename":"LS_MTC_ENTRY_REQ_3701643301_20260514130026912.json","bizContent":"{\"axleCount\":2,\"axleInfo\":\"\",\"axleType\":\"\",\"certNo\":\"\",\"costTime\":0,\"cpcMFEF01\":\"bad3c4cf410100014101016100946508012019100121991001ffffffffff\",\"cpcMFEF02\":\"6400ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff\",\"identifyVehicleId\":\"\",\"laneType\":1,\"limitWeight\":0,\"mediaNo\":\"4101016100946508\",\"mediaType\":2,\"msgId\":\"37016433012026051413002802\",\"noCPCTransFlag\":0,\"openId\":\"\",\"orderId\":\"\",\"picId\":\"\",\"plateColor\":4,\"plateNum\":\"鲁BAJ3220\",\"shiftNo\":5,\"spare1\":\"\",\"spare2\":\"\",\"spare3\":\"\",\"spare4\":1,\"spare5\":\"\",\"specialSwitch\":\"\",\"specialType\":\"\",\"specialValue\":\"\",\"station\":0,\"tollLaneHex\":\"3701643301\",\"totalWeight\":0,\"userId\":\"500302020\",\"vId\":\"3701643301202605141300261362\",\"vehicleClass\":0,\"vehicleType\":1,\"weightId\":\"\"}\n","sign":"cvicse","signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T13:00:26"}
[2026-05-14 13:00:27.116] [37016433] [INFO] [L3701643301T20260514130027115R18721] [4101016100946508] [处理流程|车辆交易数据处理] |CPC入口交易--解析交易报文开始
[2026-05-14 13:00:27.116] [37016433] [INFO] [L3701643301T20260514130027115R18721] [4101016100946508] [CPC卡信息|系统信息] |CPC系统信息(MF/EF01): CPC卡发行方标识:河南41010001, CPC卡ID:4101016100946508, 版本号:01, 合同签署日期:20191001, 合同过期日期:21991001
[2026-05-14 13:00:27.117] [37016433] [INFO] [L3701643301T20260514130027115R18721] [4101016100946508] [CPC卡信息|基本信息] |CPC基本信息(MF/EF02): CPC卡电量信息:100, 5.8GHz工作状态:00
[2026-05-14 13:00:27.117] [37016433] [INFO] [L3701643301T20260514130027115R18721] [数据交互|发送名单服务数据] |查询参数版本信息 请求：{"filename":"BASIC_PARAM_VERSIONQUERY_REQ_3701643301_20260514130027117.json","sign":"NONE","bizContent":{"msgId":"37016433012026051413199303"},"signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T13:00:27"}
[2026-05-14 13:00:27.121] [37016433] [INFO] [L3701643301T20260514130027115R18721] [数据交互|收到名单服务数据] |查询参数版本信息 响应：{"filename":"BASIC_PARAM_VERSIONQUERY_RES_3701643301_20260514130027122.json","bizContent":"{\"holidayVersion\":\"26012301_2026-01-23T00:00:00\",\"code\":0,\"gbCardBListVersion\":\"76051101_2026-05-11T12:00:01\",\"areaCodeVersion\":\"21011401_2021-01-11T00:00:00\",\"codeInfo\":\"查询成功有记录\",\"orgCodeVersion\":\"26040701_2026-04-24T00:00:00\",\"msgId\":\"37016433012026051413199303\",\"operVersion\":\"26040301_1900-01-01T00:00:00\",\"gantryVersion\":\"26040701_2026-04-24T00:00:00\",\"greylistVersion\":\"70514052_2026-05-14T12:45:02\",\"underRelationVersion\":\"26040701_2026-04-24T00:00:00\",\"SpfuncVersion\":\"26012301_2026-01-23T00:00:00\",\"basicInfoVersion\":\"20260514_2026-05-14T01:00:23\",\"spfuncVersion\":\"26012301_2026-01-23T00:00:00\",\"gbCardBListCreVersion\":\"70514142_2026-05-14T11:55:02\",\"gbAllPathVersion\":\"26050902_2026-05-09T00:00:00|26051501_2026-05-15T00:00:00\",\"publishVersion\":\"24120601_1900-01-01T00:00:00\",\"sysParaVersion\":\"24120601_1900-01-01T00:00:00\",\"gbVBListVersion\":\"26051452_2026-05-14T12:45:03\",\"emergencyAppointVersion\":\"26051452_2026-05-14T12:45:03\",\"receiveTime\":\"2026-05-14 13:00:27.122\",\"shortPathVersion\":\"26040701_2026-04-24T00:00:00\",\"shiftVersion\":\"10061502_2010-06-15T15:30:11\",\"heavyTransVersion\":\"26051418_2026-05-14T12:45:03\",\"greenTrafficVersion\":\"26051449_2026-05-14T12:45:03\",\"vgListVersion\":\"66000800_2026-05-13T00:00:00|66000800_2026-05-13T00:00:00\"}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 13:00:27.158] [37016433] [INFO] [L3701643301T20260514130027115R18721] [4101016100946508] [处理流程|有效性判断] |查询到入口流水0条
[2026-05-14 13:00:27.158] [37016433] [INFO] [L3701643301T20260514130027115R18721] [4101016100946508] [处理流程|有效性判断] |未查询到本车辆入口流水，可继续交易
[2026-05-14 13:00:27.158] [37016433] [INFO] [L3701643301T20260514130027115R18721] [数据交互|发送名单服务数据] |查询参数组织编码orgcode以获取机构名称, 请求内容: {"filename":"BASIC_ORG_LIST_REQ_3701643301_20260514130027158.json","auth":"cvicse","bizContent":"{\"orgType\":1,\"auth\":\"cvicse\",\"orgCode\":\"500303\",\"msgId\":\"37016433012026051413199305\"}","sign":"NONE","signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T13:00:27"}
[2026-05-14 13:00:27.161] [37016433] [INFO] [L3701643301T20260514130027115R18721] [数据交互|收到名单服务数据] |查询参数组织编码orgcode以获取机构名称, 响应内容: {"filename":"BASIC_ORG_LIST_RES_3701643301_20260514130027160.json","bizContent":"{\"orgtype\":1,\"ver\":\"26040701\",\"unifiedType\":null,\"code\":0,\"codeInfo\":\"查询成功有记录\",\"msgId\":\"37016433012026051413199305\",\"bl_road\":\"23\",\"orgid\":\"500303\",\"receiveTime\":\"2026-05-14 13:00:27.160\",\"paraCode\":\"1\",\"orgname\":\"王台\",\"bl_area\":\"0200\",\"blCenter\":\"50\",\"verUseTime\":\"2026-04-24 00:00:00\",\"orgfullname\":\"王台收费站\",\"blSubCenter\":\"5003\",\"bl_owner\":-1}","sign":"NONE","errorMsg":"成功","statusCode":0}
[2026-05-14 13:00:27.161] [37016433] [INFO] [L3701643301T20260514130027115R18721] [4101016100946508] [处理流程|有效性判断] |入口交易请求--调用校验开始
[2026-05-14 13:00:27.161] [37016433] [INFO] [L3701643301T20260514130027115R18721] [4101016100946508] [处理流程|有效性判断] |鲁BAJ3220**CPC卡电量: 100
[2026-05-14 13:00:27.161] [37016433] [INFO] [L3701643301T20260514130027115R18721] [4101016100946508] [处理流程|有效性判断] |卡发行方编号: 41
[2026-05-14 13:00:27.161] [37016433] [INFO] [L3701643301T20260514130027115R18721] [数据交互|发送名单服务数据] |CPC卡发行方校验: 查询参数获取全部发行方信息, 请求内容: {"filename":"ISSUER_LIST_REQ_3701643301_20260514130027161.json","auth":"cvicse","bizContent":"{\"netNo\":\"\",\"msgId\":\"37016433012026051413199306\"}","sign":"NONE","signType":"NONE","version":"2.0","encryptType":"NONE","timestamp":"2026-05-14T13:00:27"}
